1_0_2_4659_805_600_FFFF0000_0_0_0       |  00s Heroes                        |  4659_805_600_FFFF0000=--------                    |  00s heroes=xitemusic
1_0_2_46F1_80D_600_FFFF0000_0_0_0       |  100% NL                           |  46F1_80D_600_FFFF0000=--------                    |  100% nl=100procentnl
1_0_19_4B47_812_600_FFFF0000_0_0_0      |  100% NL TV                        |  4B47_812_600_FFFF0000=--------                    |  100% nl tv=100procentnltv
1_0_19_7F_D_85_C00000_0_0_0             |  13th Street                       |  7F_D_85_C00000=--------                           |  13th street=13thstreet
1_0_19_4A61_807_600_FFFF0000_0_0_0      |  192TV                             |  4A61_807_600_FFFF0000=--------                    |  192tv=192tv
1_0_2_2B21_803_600_FFFF0000_0_0_0       |  1LIVE                             |  2B21_803_600_FFFF0000=--------                    |  1live=wdr1live
1_0_19_78_4B0_110_820000_0_0_0          |  20Mediaset HD                     |  78_4B0_110_820000=--------                        |  20mediaset hd=20mediasethd
1_0_19_4BA1_817_600_FFFF0000_0_0_0      |  24Kitchen                         |  4BA1_817_600_FFFF0000=--------                    |  24kitchen=24kitchen
1_0_19_87_4B0_110_820000_0_0_0          |  27Twentyseven HD                  |  87_4B0_110_820000=--------                        |  27twentyseven hd=27twentysevenmediasethd
1_0_1_B9F_7F3_2_11A0000_0_0_0           |  2975                              |  B9F_7F3_2_11A0000=--------                        |  2975=--------
1_0_19_4A67_807_600_FFFF0000_0_0_0      |  2M                                |  4A67_807_600_FFFF0000=--------                    |  2m=2mmonde
1_0_2_2B2C_803_600_FFFF0000_0_0_0       |  4ever49                           |  2B2C_803_600_FFFF0000=--------                    |  4ever49=4ever49radio
1_0_1_20B0_808_2_11A0000_0_0_0          |  4seven                            |  20B0_808_2_11A0000=--------                       |  4seven=4seven
1_0_1_210C_2005_233A_EEEE0000_0_0_0     |  4seven                            |  210C_2005_233A_EEEE0000=--------                  |  4seven=4seven
1_0_1_2134_2005_233A_EEEE0000_0_0_0     |  5                                 |  2134_2005_233A_EEEE0000=channel5                  |  5=--------
1_0_19_13B7_7ED_2_11A0000_0_0_0         |  5047                              |  13B7_7ED_2_11A0000=--------                       |  5047=--------
1_0_19_C5E6_831_2_11A0000_0_0_0         |  50662                             |  C5E6_831_2_11A0000=--------                       |  50662=--------
1_0_19_C5E7_831_2_11A0000_0_0_0         |  50663                             |  C5E7_831_2_11A0000=--------                       |  50663=--------
1_0_19_C5FA_831_2_11A0000_0_0_0         |  50682                             |  C5FA_831_2_11A0000=--------                       |  50682=--------
1_0_19_C5FB_831_2_11A0000_0_0_0         |  50683                             |  C5FB_831_2_11A0000=--------                       |  50683=--------
1_0_2_4673_806_600_FFFF0000_0_0_0       |  50s&60s Rock                      |  4673_806_600_FFFF0000=--------                    |  50s&60s rock=xitemusic
1_0_1_32E0_3006_233A_EEEE0000_0_0_0     |  5 +1                              |  32E0_3006_233A_EEEE0000=--------                  |  5 +1=channel5plus1
1_0_1_83B_83D_2_11A0000_0_0_0           |  5+1                               |  83B_83D_2_11A0000=--------                        |  5+1=channel5plus1
1_0_1F_1465_7F0_2_11A0000_0_0_0         |  5221                              |  1465_7F0_2_11A0000=--------                       |  5221=--------
